OFFENSE_CODE,OFFENSE_CODE_GROUP,STREET
1810,Simple Assault,MASSACHUSETTS AVE & ALBANY ST
2647,Verbal Disputes,WILLIAM T MORRISSEY BLVD
1810,Simple Assault,HARRISON AVE
3005,Simple Assault,FLOYD ST
3006,Vandalism,E NEWTON ST
3201,Missing Person Located,NEW SUDBURY ST
2007,Motor Vehicle Accident Response,WASHINGTON ST
3201,Larceny,LAMARTINE ST & BOYLSTON ST
1810,Drug Violation,
2914,Firearm Violations,BREMEN ST
3006,Other,MYRTLE ST
1810,Medical Assistance,
3201,Towed,HARRISON AVE
3410,Confidence Games,CHESTNUT ST
3831,Missing Person Located,WASHINGTON ST
3201,Missing Person Reported,CENTRE ST
2647,Motor Vehicle Accident Response,WASHINGTON ST
613,Medical Assistance,BLUE HILL AVE
423,Towed,BEACON ST
3126,Fraud,ALBANY ST
3108,Verbal Disputes,E CONCORD ST
619,Simple Assault,COMMONWEALTH AVE
3114,Police Service Incidents,NEPONSET AVE
3115,Firearm Violations,NEW RUTHERFORD AVE
1300,Recovered Stolen Property,BOYLSTON ST
3115,Simple Assault,BLUE HILL AVE
423,Verbal Disputes,AMORY ST
3115,Investigate Property,HARRISON AVE
801,Medical Assistance,CORNELL ST
3106,Verbal Disputes,CLIFTON ST
3115,Towed,MOUNT VERNON ST
3114,Medical Assistance,SUMMER ST
1810,Aggravated Assault,GIBSON ST
724,Medical Assistance,
3115,Warrant Arrests,WASHINGTON ST
3115,Simple Assault,EMERSON PL
3005,Motor Vehicle Accident Response,HAMILTON ST
3001,Larceny,JETTE CT
3831,Property Found,RIDGEWOOD ST
3410,Property Found,ORKNEY RD
1402,Motor Vehicle Accident Response,WASHINGTON ST
1722,Verbal Disputes,LONGWOOD AVE
3802,Investigate Person,
3115,Medical Assistance,CENTRE ST
2905,Investigate Person,TREMONT ST
619,Medical Assistance,WASHINGTON ST
801,Investigate Property,CHAMPLAIN CIR
1402,Investigate Person,HARRISON AVE
801,Investigate Property,ALABAMA ST
2647,Investigate Person,BLUE HILL AVE
724,Simple Assault,GIBSON ST
3410,Drug Violation,COMMONWEALTH AVE
3115,Motor Vehicle Accident Response,KNIGHT ST
3001,Larceny,NORTHAMPTON ST
2619,Harassment,WARREN ST
3005,Missing Person Located,HARLEM ST
3115,Investigate Property,BOYLSTON ST
3301,Investigate Property,WESTLAND AVE
2905,Counterfeiting,BENNINGTON ST
3301,Larceny,HARVARD ST
3301,Motor Vehicle Accident Response,CEDAR ST
3802,Larceny,SOUTHAMPTON ST
3410,Drug Violation,SUPPLE RD
3410,Aggravated Assault,
1402,Disorderly Conduct,HARRISON AVE
2610,Drug Violation,MARKET ST
3502,Drug Violation,BROOKLINE AVE
3110,Drug Violation,SCHROEDER PLZ
3114,Drug Violation,HARRISON AVE
3802,Verbal Disputes,HANOVER ST
3115,Fire Related Reports,
615,Larceny,HYDE PARK AVE
3831,Motor Vehicle Accident Response,WASHINGTON ST
3410,Verbal Disputes,STRATHMORE RD
801,Verbal Disputes,MORTON ST
3126,Property Found,FAIRLAWN AVE
641,Medical Assistance,GIBSON ST
3115,Verbal Disputes,ROYCE RD
801,Motor Vehicle Accident Response,
3802,Motor Vehicle Accident Response,METROPOLITAN AVE
3114,Other,PARKER ST
3114,Violations,CLARKWOOD ST
2007,Larceny,ALBANO ST
3831,Larceny,LIFE ST
1810,Investigate Person,W CONCORD ST
3801,Drug Violation,AMERICAN LEGION HWY
3410,Larceny,BOWDOIN AVE
2610,Landlord/Tenant Disputes,ESSEX ST
3114,Vandalism,FORBES ST
2905,Investigate Person,COLUMBIA RD
3301,Other,WARREN ST
3005,Motor Vehicle Accident Response,SALEM ST
2907,Property Lost,
3802,Larceny,HYDE PARK AVE
1832,Drug Violation,WINDERMERE RD
801,Drug Violation,RIVER ST
801,Missing Person Reported,WALNUT PARK
617,Medical Assistance,INDEPENDENCE DR
3831,Investigate Person,SOUTH ST
3106,Investigate Person,CLEARWAY ST
3802,Investigate Person,AMERICAN LEGION HWY
613,Property Lost,DORCHESTER AVE
3125,Drug Violation,SOUTHAMPTON ST
3301,Landlord/Tenant Disputes,WALNUT AVE
3006,Robbery,SAINT ALBANS RD
3115,Fraud,COLUMBIA RD
1810,Verbal Disputes,BLUE HILL AVE
1810,Verbal Disputes,BLUE HILL AVE
3803,Medical Assistance,
3115,Residential Burglary,GEORGE ST
3005,Larceny From Motor Vehicle,TREMONT ST
619,Drug Violation,BLUE HILL AVE
613,Drug Violation,WASHINGTON ST
423,Vandalism,CENTRE ST
3801,Restraining Order Violations,RESERVATION RD
2670,Motor Vehicle Accident Response,WASHINGTON ST
2647,Fraud,GIBSON ST
3115,Simple Assault,VFW PKWY
3006,Investigate Person,WYCLIFF AVE
3503,Medical Assistance,HARWOOD ST
3114,Ballistics,WASHINGTON ST
3115,Drug Violation,POLK ST
619,Other,WASHINGTON ST
619,Confidence Games,NORFOLK AVE
3005,Property Lost,CEDAR ST
301,Other Burglary,
3801,Auto Theft,GIBSON ST
3006,Motor Vehicle Accident Response,LONGWOOD AVE
3005,Fraud,RIVER ST
2610,Property Lost,WASHINGTON ST
3502,Confidence Games,WASHINGTON ST
801,Aggravated Assault,ANITA TER
3005,Verbal Disputes,MORTON ST
3502,Investigate Person,WASHINGTON ST
2905,Confidence Games,WASHINGTON ST
2610,Medical Assistance,
3301,Motor Vehicle Accident Response,LONGFELLOW ST
1810,Vandalism,SUMMER ST
3830,Missing Person Reported,WASHINGTON ST
3831,Auto Theft,RIVER ST
3502,Auto Theft Recovery,HARBOR SHORE DR
801,Simple Assault,WHEATLAND AVE
301,Medical Assistance,
3006,Motor Vehicle Accident Response,TAUNTON AVE
3008,Harassment,ROBINWOOD AVE
3114,Simple Assault,WESTLAND AVE
3811,Violations,
2657,Investigate Person,
1402,Investigate Person,PUTNAM ST
801,Medical Assistance,WHITE ST
3005,Larceny,COURT ST
619,Investigate Person,MA-28
3115,Larceny,HAMILTON ST
801,Police Service Incidents,NEPONSET AVE
3005,Drug Violation,WASHINGTON ST
724,Search Warrants,WASHINGTON ST
3114,Firearm Violations,LEGENDS WAY
3130,Drug Violation,MCGREEVEY WAY
1810,Property Lost,MCGREEVEY WAY
3005,Medical Assistance,MELNEA CASS BLVD
520,Investigate Person,RICH ST
301,Property Lost,WASHINGTON ST
3802,Medical Assistance,SEAPORT BLVD
3301,Property Found,BERRY ST
801,Medical Assistance,HARRISON AVE
2670,Medical Assistance,WASHINGTON ST
3114,Warrant Arrests,
520,Residential Burglary,WASHINGTON ST
3820,Other,DUDLEY ST
3114,Investigate Property,DEVON ST
2647,Towed,WASHINGTON ST
617,Medical Assistance,HARRISON AVE
617,Larceny,HYDE PARK AVE
613,Drug Violation,MARKET ST
614,License Violation,GIBSON ST
3115,Vandalism,WASHINGTON ST
614,Residential Burglary,BLUE HILL AVE
3115,Motor Vehicle Accident Response,ORIENT AVE
3831,Aggravated Assault,WASHINGTON ST
1107,Verbal Disputes,HARRISON AVE
1810,Motor Vehicle Accident Response,WASHINGTON ST
613,Larceny,BOYLSTON ST
3115,Confidence Games,FRANCIS ST
3201,Motor Vehicle Accident Response,HALLET ST
3301,Confidence Games,HIGHLAND ST
2007,Residential Burglary,WASHINGTON ST
3130,Medical Assistance,
3115,Larceny,MITCHELL ST
3006,Larceny,ALBANY ST
1300,Property Lost,
2907,Towed,BLUE HILL AVE
3831,Medical Assistance,HARRISON AVE
3114,Missing Person Reported,ELM HILL PARK
520,Other,WASHINGTON ST
2647,Motor Vehicle Accident Response,CENTRE ST
3810,Simple Assault,WASHINGTON ST
3807,Robbery,NORFOLK AVE
3803,Aggravated Assault,
2670,Simple Assault,HARRISON AVE
3006,Other,CAMBRIDGE ST
3126,Verbal Disputes,
3115,Larceny From Motor Vehicle,OLD LANDING WAY
3114,Investigate Person,PETERBOROUGH ST
613,Investigate Person,CORINTH ST
2670,Larceny,NORTHAMPTON ST
1810,Towed,GENERAL LAWRENCE J LOGAN WAY
801,Property Lost,SHAWMUT AVE
3301,Other,HUNTINGTON AVE
2646,Other Burglary,NORFOLK AVE
2646,Medical Assistance,
3301,Motor Vehicle Accident Response,E BROOKLINE ST
3501,Motor Vehicle Accident Response,GIBSON ST
3005,Investigate Person,BOWDOIN SQ
2003,Auto Theft,CAMELOT CT
3114,Motor Vehicle Accident Response,COMMONWEALTH AVE
3115,Missing Person Reported,MAVERICK SQ
3115,Property Found,GIBSON ST
2647,Other,WASHINGTON ST
3201,Larceny,CENTRE ST
1106,Residential Burglary,WALNUT AVE
1102,Towed,SUMNER ST
3115,Police Service Incidents,MEADOW RD
3106,Motor Vehicle Accident Response,W BROADWAY
801,Other,REDLANDS RD
3115,Drug Violation,
3410,Larceny,CHESTNUT ST
3830,Police Service Incidents,
614,Investigate Person,PARIS ST
3115,Aggravated Assault,WASHINGTON ST
3410,Warrant Arrests,W BROADWAY
614,Auto Theft,POND ST
2670,Larceny,CENTRE ST
3410,Other,BOYLSTON ST
2670,Property Found,HARRISON AVE
3831,Other,CENTRE ST
3005,Medical Assistance,OUTLOOK RD
3115,Larceny From Motor Vehicle,FAY ST
3170,Confidence Games,WASHINGTON ST
615,Medical Assistance,
801,Motor Vehicle Accident Response,EDSON ST
3201,Investigate Property,NEW SUDBURY ST
3831,Motor Vehicle Accident Response,
3831,Motor Vehicle Accident Response,CENTRE ST
2907,Investigate Property,ALPHA RD
3126,Towed,DALTON ST
3006,Vandalism,CLIFFORD ST
3831,Vandalism,GIBSON ST
3410,Vandalism,SARATOGA ST
801,Vandalism,
423,Vandalism,HARRISON AVE
3115,Motor Vehicle Accident Response,MERIDIAN ST
801,Medical Assistance,CHAUNCY ST
614,Other,WASHINGTON ST
3115,Property Found,CAMBRIDGE ST
3119,Motor Vehicle Accident Response,E COTTAGE ST
3802,Fraud,
2670,Larceny From Motor Vehicle,HYDE PARK AVE
801,Warrant Arrests,CRESTON ST
801,Towed,FRUIT ST
614,Motor Vehicle Accident Response,
3006,Residential Burglary,DIMOCK ST
3006,Towed,CANAL ST
801,Property Lost,WALNUT AVE
3114,Counterfeiting,ATLANTIC AVE
3005,Property Found,CRESTON ST
3005,Verbal Disputes,POND ST
3108,Medical Assistance,BOURNESIDE ST
3005,Larceny,BRADFORD ST
3114,Simple Assault,NORFOLK ST
1501,Other,NORFOLK ST
2905,Medical Assistance,
724,Medical Assistance,WASHINGTON ST
520,License Violation,STOCKTON ST
3301,Simple Assault,COLUMBIA RD
3301,Drug Violation,BERRY ST
3114,Investigate Person,WARREN ST
617,Verbal Disputes,STANLEY ST
801,Other,EDGEMERE RD
3410,Larceny,DOWNER AVE
801,Vandalism,ADAMS ST
3108,Motor Vehicle Accident Response,STANDARD ST
423,Robbery,OBIERNE PL
423,Simple Assault,WASHINGTON ST
1832,Aggravated Assault,CREIGHTON ST
2907,Verbal Disputes,BOW ST
3501,Medical Assistance,WASHINGTON ST
1402,Other,FRIEND ST
244,Motor Vehicle Accident Response,BRIGHTON AVE
2647,Motor Vehicle Accident Response,HYDE PARK AVE
3802,Other,FOLSOM ST
3108,Motor Vehicle Accident Response,MOUNTAIN AVE
3410,Vandalism,WASHINGTON ST
3501,Ballistics,WASHINGTON ST
3501,Medical Assistance,WASHINGTON ST
724,Investigate Property,WOOLSON ST
3410,Simple Assault,W BROADWAY
801,Verbal Disputes,WAINWRIGHT ST
619,Simple Assault,HUNTINGTON AVE
801,Simple Assault,NEW SUDBURY ST
3114,Vandalism,WINDHAM RD
3502,Missing Person Located,COMMONWEALTH AVE
3006,Motor Vehicle Accident Response,SEAPORT BLVD
3006,Larceny,CENTRE ST
3114,Drug Violation,
801,Firearm Violations,DRAPER ST
2647,Other,HARRISON AVE
3005,Medical Assistance,LAMARTINE ST
801,Towed,SUMMER ST
3115,Confidence Games,ASTORIA ST
3115,Missing Person Located,DORCHESTER AVE
2670,Missing Person Reported,NEW SUDBURY ST
2403,Motor Vehicle Accident Response,LEGENDS WAY
3119,Medical Assistance,POPLAR ST
3115,Towed,SUTTON ST
3115,Fraud,BURBANK ST
1810,Verbal Disputes,WASHINGTON ST
520,Simple Assault,JUDSON ST
423,Police Service Incidents,FRANCIS ST
3301,Firearm Violations,GREENWICH ST
3114,Recovered Stolen Property,WASHINGTON ST
2403,Simple Assault,
1810,Verbal Disputes,WASHINGTON ST
619,Investigate Property,INTERVALE ST
1722,Medical Assistance,COMMONWEALTH AVE
3301,Verbal Disputes,SEAVER ST
619,Towed,NEW SUDBURY ST
801,Medical Assistance,PARK DR
3114,Aggravated Assault,WINCHESTER ST
520,Medical Assistance,COURTLAND RD
3410,Warrant Arrests,BRIMMER ST
3831,Simple Assault,WASHINGTON ST
423,Motor Vehicle Accident Response,BOSTON MEDICAL CENTER PL
3801,Larceny,
3008,Property Found,ALBANY ST
3114,Property Found,WILLIAMS ST
3108,Motor Vehicle Accident Response,S HUNTINGTON AVE
613,Verbal Disputes,HANOVER ST
613,Investigate Person,GENEVA AVE
301,Medical Assistance,GENEVA AVE
3006,Investigate Person,
3115,Medical Assistance,BAXTER ST
3114,Investigate Property,WASHINGTON ST
3126,Investigate Person,MCGREEVEY WAY
801,Investigate Property,WITHINGTON ST
3006,Investigate Person,METROPOLITAN AVE
3008,Simple Assault,MARYLAND ST
1810,Drug Violation,
3410,Motor Vehicle Accident Response,MOZART ST
613,Larceny,DISTRICT AVE
617,Harassment,ALLSTATE RD
3301,Missing Person Located,HUMBOLDT AVE
3114,Investigate Property,HARVARD ST
801,Investigate Property,WARREN ST
3831,Counterfeiting,NEWBURG ST
2007,Larceny,WASHINGTON ST
3115,Motor Vehicle Accident Response,AVENUE DE LAFAYETTE
801,Larceny,ADAMS ST
801,Drug Violation,NEW SUDBURY ST
3301,Aggravated Assault,CAWFIELD ST
3301,Disorderly Conduct,SOUTHMERE RD
3126,Drug Violation,WARREN ST
619,Drug Violation,COLUMBIA RD
1501,Drug Violation,OSCEOLA ST
3807,Drug Violation,HYDE PARK AVE
3301,Verbal Disputes,COLUMBIA RD
520,Fire Related Reports,MAGAZINE ST
3502,Larceny,WASHINGTON ST
3005,Motor Vehicle Accident Response,STANIFORD ST
3820,Verbal Disputes,
3207,Verbal Disputes,TREMONT ST
801,Property Found,WESTLAND AVE
3820,Medical Assistance,LONGWOOD AVE
2647,Verbal Disputes,ROCKWELL ST
613,Motor Vehicle Accident Response,WASHINGTON ST
301,Motor Vehicle Accident Response,CENTRE ST
2647,Other,W NINTH ST
1102,Violations,HARRISON AVE
3115,Larceny,JOHNSWOOD RD
619,Larceny,COLUMBUS AVE
301,Investigate Person,CENTRE ST
3114,Drug Violation,LEGENDS WAY
619,Larceny,WASHINGTON ST
3125,Landlord/Tenant Disputes,WASHINGTON ST
614,Vandalism,HARRISON AVE
3115,Investigate Person,MA-28
1102,Other,WASHINGTON ST
1810,Motor Vehicle Accident Response,HYDE PARK AVE
3831,Property Lost,GIBSON ST
801,Larceny,MAPLE ST
3106,Drug Violation,GOODENOUGH ST
3115,Drug Violation,F ST
613,Missing Person Reported,SUMMER ST
3201,Medical Assistance,MONADNOCK ST
520,Investigate Person,SPRING ST
3410,Investigate Person,HUNTINGTON AVE
3126,Investigate Person,HUNTINGTON AVE
3115,Property Lost,SARATOGA ST
3007,Drug Violation,HILLSIDE ST
520,Landlord/Tenant Disputes,YALE TER
801,Robbery,CENTRE ST
3803,Fraud,
3201,Verbal Disputes,GIBSON ST
3115,Verbal Disputes,LITHGOW ST
3802,Medical Assistance,BROOKLINE AVE
3006,Residential Burglary,ADAMS ST
801,Larceny From Motor Vehicle,DR. MICHAEL GAVIN WAY
3207,Drug Violation,BLUE HILL AVE
1402,Drug Violation,QUINCY ST
801,Vandalism,SYCAMORE ST
3301,Restraining Order Violations,MOUNT PLEASANT TER
3005,Motor Vehicle Accident Response,DONNYBROOK RD
1402,Fraud,CONRAD ST
3301,Simple Assault,REDDY AVE
3115,Investigate Person,E SECOND ST
520,Medical Assistance,CAMDEN ST
2007,Ballistics,MOUNT EVERETT ST
3301,Drug Violation,NONANTUM ST
801,Other,RIVER ST
2662,Confidence Games,E COTTAGE ST
3301,Property Lost,PRESCOTT ST
1810,Other Burglary,
2905,Auto Theft,
520,Motor Vehicle Accident Response,BOSTON ST
3803,Fraud,
3301,Property Lost,ASHFORD ST
423,Confidence Games,TREMONT ST
3803,Aggravated Assault,BELGRADE AVE
3502,Verbal Disputes,HARVARD ST
801,Investigate Person,HARRISON AVE
3018,Confidence Games,WASHINGTON ST
3502,Medical Assistance,MASSACHUSETTS AVE
3115,Motor Vehicle Accident Response,WASHINGTON ST
3502,Vandalism,ALLEGHANY ST
3301,Missing Person Reported,DORCHESTER AVE
801,Auto Theft,
3502,Auto Theft Recovery,WASHINGTON ST
3802,Simple Assault,BUTTONWOOD ST
3301,Medical Assistance,AMERICAN LEGION HWY
617,Motor Vehicle Accident Response,WASHINGTON ST
3115,Harassment,BYNNER ST
520,Simple Assault,GARDNER ST
617,Violations,WALDEN ST
301,Investigate Person,S HUNTINGTON AVE
3115,Investigate Person,NORTON ST
3803,Medical Assistance,ALBANY ST
3831,Larceny,
3301,Investigate Person,ABBOT ST
611,Larceny,
3114,Police Service Incidents,BUTTONWOOD ST
3301,Drug Violation,CAMBRIDGE ST
3301,Search Warrants,POLK ST
3115,Firearm Violations,SAINT JAMES ST
3115,Drug Violation,CROWELL ST
801,Property Lost,
3301,Medical Assistance,GLENWAY ST
3301,Investigate Person,HEATH ST
3005,Property Lost,
3301,Medical Assistance,TOLEDO TER
3501,Property Found,MOULTRIE ST
619,Medical Assistance,OSCEOLA ST
3301,Medical Assistance,GLADESIDE AVE
801,Warrant Arrests,BROOK AVE
3005,Residential Burglary,WASHINGTON ST
3001,Other,
613,Investigate Property,RING RD
3802,Towed,LAGRANGE ST
3108,Medical Assistance,HEATH ST
3005,Larceny,NORFOLK ST
3007,Drug Violation,TIBBETT'S TOWN WAY
520,License Violation,WOODRUFF WAY
3831,Vandalism,CHESTNUT HILL AVE
3001,Residential Burglary,K ST
3006,Motor Vehicle Accident Response,WAINWRIGHT ST
3410,Aggravated Assault,DORCHESTER AVE
801,Verbal Disputes,B ST
801,Motor Vehicle Accident Response,TREMONT ST
1810,Larceny,
613,Confidence Games,HUNTINGTON AVE
3108,Motor Vehicle Accident Response,ITASCA ST
1102,Confidence Games,WASHINGTON ST
3108,Residential Burglary,WELLINGTON ST
1810,Medical Assistance,MASSACHUSETTS AVE
617,Larceny,CENTRE ST
2657,Larceny,TREMONT ST
3005,Property Lost,VFW PKWY
3802,Towed,BLUE HILL AVE
3301,Medical Assistance,NORFOLK ST
1810,Missing Person Reported,CENTRE ST
3301,Other,BLUE HILL AVE
616,Motor Vehicle Accident Response,GAINSBOROUGH ST
3006,Simple Assault,DARTMOUTH ST
3831,Robbery,NEW SUDBURY ST
617,Aggravated Assault,CONGRESS ST
3115,Simple Assault,M.L.K. JR BLVD
3115,Other,GREENWOOD PARK
3115,Verbal Disputes,
617,Larceny From Motor Vehicle,N MARGIN ST
3831,Investigate Person,GIBSON ST
3005,Investigate Person,NORFOLK ST
3006,Larceny,LENOX ST
3114,Towed,COPELAND PARK
3115,Property Lost,BOURNE ST
3301,Other,BORDER ST
2647,Other Burglary,WASHINGTON ST
2647,Medical Assistance,ALBANY ST
3502,Motor Vehicle Accident Response,TALBOT AVE
3201,Motor Vehicle Accident Response,GIBSON ST
3115,Investigate Person,THETFORD AVE
617,Auto Theft,HYDE PARK AVE
613,Motor Vehicle Accident Response,RING RD
2907,Missing Person Reported,
3301,Property Found,HUNTINGTON AVE
3802,Other,
801,Larceny,RUTHERFORD AVE
3301,Residential Burglary,BOWDOIN AVE
3114,Towed,WASHINGTON ST
1402,Police Service Incidents,PETERBOROUGH ST
617,Motor Vehicle Accident Response,WASHINGTON ST
2670,Other,CENTRE ST
3301,Drug Violation,JACOB ST
3201,Larceny,WASHINGTON ST
244,Police Service Incidents,W EIGHTH ST
520,Investigate Person,COLUMBIA RD
613,Aggravated Assault,DORCHESTER ST
3831,Warrant Arrests,GIBSON ST
3005,Auto Theft,VFW PKWY
613,Larceny,AMERICAN LEGION HWY
423,Other,E NEWTON ST
3831,Property Found,WASHINGTON ST
3801,Other,DRAPER ST
801,Medical Assistance,STANIFORD ST
1106,Larceny From Motor Vehicle,HAMILTON ST
619,Confidence Games,EMERSON ST
2670,Medical Assistance,GIBSON ST
801,Motor Vehicle Accident Response,BOYLSTON ST
3502,Investigate Property,ALLEGHANY ST
1810,Motor Vehicle Accident Response,
3207,Motor Vehicle Accident Response,TREMLETT ST
3005,Investigate Property,GROTTO GLEN RD
3301,Towed,SHAWMUT AVE
801,Vandalism,CANTERBURY ST
3301,Vandalism,WELLINGTON HILL ST
2610,Vandalism,TREMONT ST
3108,Vandalism,BELGRADE AVE
3301,Vandalism,MOUNT PLEASANT ST
3301,Motor Vehicle Accident Response,BLUE HILL AVE
3301,Medical Assistance,DORCHESTER AVE
2670,Other,
1825,Property Found,WASHINGTON ST
3801,Motor Vehicle Accident Response,BELLEVUE ST
3006,Fraud,MARTHA RD
613,Larceny From Motor Vehicle,RIVER ST
3805,Warrant Arrests,
3115,Towed,WARREN AVE
3301,Motor Vehicle Accident Response,MONSIGNOR DENNIS F O'CALLAGHAN WAY
3115,Residential Burglary,METROPOLITAN AVE
3831,Towed,VINE ST
2670,Property Lost,CLIFFORD ST
801,Counterfeiting,NAZING CT
3301,Property Found,NORFOLK ST
3301,Verbal Disputes,SMITH ST
3115,Medical Assistance,HARRISON AVE
2647,Larceny,MEDFORD ST
1402,Simple Assault,WASHINGTON ST
2905,Other,
3119,Medical Assistance,WASHINGTON ST
2647,Medical Assistance,MASSACHUSETTS AVE
301,License Violation,HARRISON AVE
1402,Simple Assault,W BROADWAY
3005,Drug Violation,COMMONWEALTH AVE
801,Investigate Person,WASHINGTON ST
1810,Verbal Disputes,SUMMER ST
3114,Other,
3005,Larceny,DUNBOY ST
3005,Vandalism,AMERICAN LEGION HWY
3114,Motor Vehicle Accident Response,COPELAND ST
613,Robbery,BOYLSTON ST
1501,Simple Assault,GREENBRIER ST
3005,Aggravated Assault,FIRST AVE
617,Verbal Disputes,GIBSON ST
619,Medical Assistance,NEW SUDBURY ST
617,Other,GIBSON ST
3114,Motor Vehicle Accident Response,MASSACHUSETTS AVE
3410,Motor Vehicle Accident Response,EIGHTH ST
3115,Other,RIVERSIDE SQ
3207,Motor Vehicle Accident Response,TREMONT ST
2670,Vandalism,WASHINGTON ST
2403,Ballistics,G ST
3831,Medical Assistance,WASHINGTON ST
613,Investigate Property,NEWBURY ST
3410,Simple Assault,LEICESTER ST
1102,Verbal Disputes,WASHINGTON ST
3301,Simple Assault,WOODROW AVE
3005,Simple Assault,HARRISON AVE
3007,Vandalism,BEACON ST
615,Missing Person Located,WALDEMAR AVE
2619,Motor Vehicle Accident Response,WARREN ST
616,Larceny,WASHINGTON ST
801,Drug Violation,PARK VALE AVE
3115,Firearm Violations,RIVER ST
3005,Other,PETERBOROUGH ST
616,Medical Assistance,PARK DR
3410,Towed,MOUNT VERNON ST
1107,Confidence Games,WASHINGTON ST
1402,Missing Person Located,ANGELL ST
615,Missing Person Reported,NEWBURY ST
3301,Motor Vehicle Accident Response,SEAVER ST
1402,Medical Assistance,FAYSTON ST
3005,Towed,CENTRE ST
3115,Fraud,HARVARD ST
619,Verbal Disputes,HARVARD ST
617,Simple Assault,BEALE ST
3301,Police Service Incidents,INTERVALE ST
3301,Firearm Violations,HARTWELL ST
2647,Recovered Stolen Property,WARREN ST
3115,Simple Assault,GUEST ST
724,Verbal Disputes,GIBSON ST
1107,Investigate Property,HARRISON AVE
614,Medical Assistance,SAGAMORE ST
3005,Verbal Disputes,MAYFIELD ST
3005,Towed,NEWBURY ST
617,Medical Assistance,ELLINGTON ST
3502,Aggravated Assault,DENT ST
3114,Medical Assistance,WASHINGTON ST
3005,Warrant Arrests,BOYLSTON ST
3802,Simple Assault,WASHINGTON ST
3115,Motor Vehicle Accident Response,GIBSON ST
3410,Larceny,WILSON PARK
1832,Property Found,SOUTHAMPTON ST
1402,Property Found,PARK DR
2907,Motor Vehicle Accident Response,HUNTINGTON AVE
614,Verbal Disputes,W BROADWAY
3005,Investigate Person,WESTLAND AVE
2647,Medical Assistance,HYDE PARK AVE
801,Investigate Person,GENEVA AVE
614,Medical Assistance,WASHINGTON ST
2905,Investigate Property,
615,Investigate Person,GIBSON ST
540,Investigate Property,HARRISON AVE
1402,Investigate Person,TREMONT ST
520,Simple Assault,LESLIE ST
3802,Drug Violation,FORBES ST
3410,Motor Vehicle Accident Response,FORBES ST
3115,Larceny,CORTES ST
3410,Harassment,FOREST ST
3301,Missing Person Located,GEORGIA ST
3831,Investigate Property,MERIDIAN ST
3126,Investigate Property,GREENDALE
3201,Counterfeiting,WASHINGTON ST
641,Larceny,LYON ST
615,Motor Vehicle Accident Response,PARIS ST
3115,Larceny,PARKER ST
3115,Drug Violation,FRUIT ST
531,Aggravated Assault,NORFOLK AVE
3006,Disorderly Conduct,INGLESIDE ST
3005,Drug Violation,BLOOMFIELD ST
619,Drug Violation,WESTVIEW ST
301,Drug Violation,FARRINGTON AVE
301,Drug Violation,HORACE ST
3301,Verbal Disputes,WALFORD WAY
3005,Fire Related Reports,FAYWOOD AVE
3115,Larceny,ALABAMA ST
2670,Motor Vehicle Accident Response,CENTRE ST
3410,Verbal Disputes,TREMONT ST
3114,Verbal Disputes,
2647,Property Found,SHAWMUT AVE
2647,Medical Assistance,COURT ST
3301,Verbal Disputes,KELTON ST
3301,Motor Vehicle Accident Response,MOUNT EVERETT ST
2907,Motor Vehicle Accident Response,
3005,Other,D ST
801,Violations,CAUSEWAY ST
2007,Larceny,WOODRUFF WAY
3126,Larceny,WASHINGTON ST
3114,Investigate Person,BLUE HILL AVE
3006,Drug Violation,WALFORD WAY
3110,Larceny,DEADY'S LN
3301,Landlord/Tenant Disputes,BURRELL ST
3005,Vandalism,FAIRMOUNT AVE
3301,Investigate Person,HANO ST
3111,Other,HANOVER ST
301,Motor Vehicle Accident Response,DARTMOUTH ST
3005,Property Lost,COLUMBIA RD
1402,Larceny,VESTA RD
801,Drug Violation,NEW SUDBURY ST
619,Drug Violation,NEW SUDBURY ST
3106,Missing Person Reported,HYDE PARK AVE
1106,Medical Assistance,GIBSON ST
1722,Investigate Person,FOGG RD
1001,Investigate Person,PARIS ST
613,Investigate Person,LONGWOOD AVE
3114,Property Lost,TYLER ST
3114,Drug Violation,GIBSON ST
3114,Landlord/Tenant Disputes,GIBSON ST
1810,Robbery,GIBSON ST
3114,Fraud,ANTWERP ST
801,Verbal Disputes,FRONTENAC ST
3831,Verbal Disputes,MAGAZINE ST
2670,Medical Assistance,GIBSON ST
724,Residential Burglary,WALNUT AVE
1415,Larceny From Motor Vehicle,MALCOLM X BLVD
3410,Drug Violation,SARATOGA ST
3410,Drug Violation,
614,Vandalism,HARRISON AVE
3001,Restraining Order Violations,SARATOGA ST
3502,Motor Vehicle Accident Response,ALGONQUIN ST
3301,Fraud,BLUE HILL AVE
3115,Simple Assault,WASHINGTON ST
3831,Investigate Person,W BROADWAY
735,Medical Assistance,NEWMARKET SQ
3831,Ballistics,WASHINGTON ST
3018,Drug Violation,
3810,Other,
2670,Confidence Games,ROXBURY ST
613,Property Lost,WASHINGTON ST
3201,Other Burglary,W BROADWAY
3201,Auto Theft,NEW SUDBURY ST
3005,Motor Vehicle Accident Response,W BROADWAY
3201,Fraud,
2657,Property Lost,
3130,Confidence Games,HUNTINGTON AVE
3803,Aggravated Assault,
3115,Verbal Disputes,MASSACHUSETTS AVE
614,Investigate Person,HARRISON AVE
2671,Confidence Games,BLUE HILL AVE
3801,Medical Assistance,WASHINGTON ST
